Event ID,Magnitude,Datetime UTC,Latitude,Longitude,Region,Depth(KM,Auth
20181113_0000104,m 3.9,2018-11-13T20:09:30.0Z,8.29,-82.78,PANAMA-COSTA RICA BORDER REGION,23,UCR
20181113_0000101,mb 4.9,2018-11-13T20:00:39.1Z,35.67,69.82,"HINDU KUSH REGION, AFGHANISTAN",100,EMSC
20181113_0000099,ml 3.0,2018-11-13T19:45:58.2Z,29.53,-17.05,"CANARY ISLANDS, SPAIN REGION",43,MDD
20181113_0000102,m 4.1,2018-11-13T19:18:00.0Z,-16.78,-71.72,SOUTHERN PERU,27,LIM
20181113_0000120,mb 4.6,2018-11-13T19:04:07.7Z,-1.8,120.88,"SULAWESI, INDONESIA",10,EMSC
20181113_0000100,ml 2.8,2018-11-13T19:01:34.5Z,46.95,-112.53,WESTERN MONTANA,14,NEIR
20181113_0000119,ml 2.7,2018-11-13T18:25:40.0Z,50.07,19.21,POLAND,10,EMSC
20181113_0000096,ml 2.0,2018-11-13T18:04:08.1Z,45.1,-112.97,WESTERN MONTANA,8,NEIR
20181113_0000095,ml 2.0,2018-11-13T17:49:14.8Z,42.86,12.96,CENTRAL ITALY,11,ROM
20181113_0000094,mb 5.0,2018-11-13T17:33:32.6Z,14.38,125.16,PHILIPPINE ISLANDS REGION,10,EMSC
20181113_0000122,ml 2.8,2018-11-13T17:22:07.4Z,61.4,-150.45,SOUTHERN ALASKA,54,NEIC
20181113_0000093,ml 3.0,2018-11-13T17:17:23.7Z,42.66,-111.49,SOUTHERN IDAHO,5,NEIC
20181113_0000092,ml 2.6,2018-11-13T17:11:26.2Z,38.01,15.04,"SICILY, ITALY",10,ROM
20181113_0000090,ml 2.2,2018-11-13T17:02:29.0Z,36.03,-7.88,STRAIT OF GIBRALTAR,31,INMG
20181113_0000091,ml 2.3,2018-11-13T16:26:44.0Z,45.86,-111.35,WESTERN MONTANA,4,NEIR
20181113_0000075,ml 3.6,2018-11-13T16:04:35.6Z,37.54,20.86,IONIAN SEA,8,EMSC
20181113_0000074,mb 4.4,2018-11-13T15:48:56.0Z,-32.18,179.86,SOUTH OF KERMADEC ISLANDS,378,EMSC
20181113_0000071,ml 4.1,2018-11-13T15:26:42.1Z,64.79,-150.96,CENTRAL ALASKA,17,NEIR
20181113_0000073,m 4.0,2018-11-13T15:09:28.0Z,17.31,-100.41,"GUERRERO, MEXICO",42,UNM
20181113_0000072,ml 2.7,2018-11-13T15:06:53.7Z,38.05,15.04,"SICILY, ITALY",8,ROM
20181113_0000069,ml 2.1,2018-11-13T15:00:06.6Z,42.88,12.97,CENTRAL ITALY,10,ROM
20181113_0000070,mb 4.1,2018-11-13T14:59:14.5Z,-8.04,128.59,TIMOR SEA,35,NEIC
20181113_0000082,m 3.5,2018-11-13T14:57:20.0Z,17.82,-101.14,"GUERRERO, MEXICO",58,UNM
20181113_0000066,ml 2.8,2018-11-13T14:47:23.4Z,39.37,39.03,EASTERN TURKEY,9,EMSC
20181113_0000064,ml 3.0,2018-11-13T14:38:04.7Z,69.55,-143.94,NORTHERN ALASKA,10,NEIR
20181113_0000065,ml 2.2,2018-11-13T14:36:10.0Z,38.01,15.04,"SICILY, ITALY",9,ROM
20181113_0000084,m 3.6,2018-11-13T14:06:38.0Z,19.8,-105.33,"JALISCO, MEXICO",10,UNM
20181113_0000061,ml 2.0,2018-11-13T13:59:00.5Z,40.07,27.73,WESTERN TURKEY,7,DDA
